Team_ID,Team,Region,Country,Track,Section,Size,Status,Year
2158,Gifu,Asia,Japan,,Undergrad,20,Accepted,2016
2151,Glasgow,Europe,United_Kingdom,,Undergrad,14,Accepted,2016
1978,Goettingen,Europe,Germany,,Overgrad,13,Accepted,2016
1930,Groningen,Europe,Netherlands,,Overgrad,19,Accepted,2016
2057,Guanajuato_Mx,Latin_America,Mexico,,Undergrad,23,Accepted,2016
1909,Hamburg,Europe,Germany,Diagnostics(P),Overgrad,22,Accepted,2016
2075,Hannover,Europe,Germany,,Overgrad,18,Accepted,2016
2010,Harvard_BioDesign,North_America,United_States,,Undergrad,13,Accepted,2016
2134,HFUT-China,Asia,China,Software(P),Undergrad,21,Accepted,2016
2015,HokkaidoU_Japan,Asia,Japan,Foundational_Advance(P),Undergrad,14,Accepted,2016
2054,Hong_Kong_HKU,Asia,Hong_Kong,,Undergrad,23,Accepted,2016
1899,Hong_Kong_HKUST,Asia,Hong_Kong,,Undergrad,41,Accepted,2016
1889,Hong_Kong_UCCKE,Asia,Hong_Kong,,High_school,13,Accepted,2016
1961,HSiTAIWAN,Asia,Taiwan,,High_school,20,Accepted,2016
2036,HUST-China,Asia,China,,Undergrad,9,Accepted,2016
2012,HZAU-China,Asia,China,,Undergrad,20,Accepted,2016
2168,IISc_Bangalore,Asia,India,,Undergrad,8,Accepted,2016
1956,IIT-Madras,Asia,India,,Undergrad,5,Accepted,2016
2173,IIT_Delhi,Asia,India,,Unspecified,3,Accepted,2016
2163,IIT_Kharagpur,Asia,India,,Undergrad,23,Accepted,2016
1893,Imperial_College,Europe,United_Kingdom,,Undergrad,21,Accepted,2016
1944,India-Thapar-CSED,Asia,India,,Unspecified,1,Withdrawn,2016
2127,IngenuityLab_Canada,North_America,Canada,,Undergrad,10,Accepted,2016
1934,INSA-Lyon,Europe,France,Diagnostics(P),Undergrad,19,Accepted,2016
2023,Ionis_Paris,Europe,France,,Overgrad,17,Accepted,2016
2141,Istanbul_Tech,Europe,Turkey,,Undergrad,13,Accepted,2016
2178,IvyTech_SouthBend_IN,North_America,United_States,,Overgrad,10,Accepted,2016
1932,Jilin_China,Asia,China,,Undergrad,20,Accepted,2016
1940,JNFLS_China,Asia,China,,High_school,16,Accepted,2016
2000,JSNU-China,Asia,China,,Undergrad,11,Accepted,2016
1901,JSNU_CHINA,Asia,China,,Unspecified,1,Deleted,2016
2035,Judd_UK,Europe,United_Kingdom,,High_school,1,Withdrawn,2016
2175,KAIT_Japan,Asia,Japan,,Unspecified,2,Accepted,2016
1985,Kent,Europe,United_Kingdom,,Undergrad,13,Accepted,2016
1952,Kingsborough_NY,North_America,United_States,,Overgrad,15,Accepted,2016
1999,KoreaSonyeodul,Asia,Korea,_Republic_Of,High_school,9,Accepted,2016
2094,Korea_U_Seoul,Asia,Korea,_Republic_Of,Overgrad,16,Accepted,2016
1933,Kyoto,Asia,Japan,Therapeutics(P),Undergrad,14,Accepted,2016
1911,LambertGA,North_America,United_States,,High_school,13,Accepted,2016
1995,Lanzhou,Asia,China,,Unspecified,4,Accepted,2016
1902,Leicester,Europe,United_Kingdom,,Undergrad,13,Accepted,2016
1938,Leiden,Europe,Netherlands,Environment(P),Undergrad,17,Accepted,2016
2109,Lethbridge,North_America,Canada,,Overgrad,10,Accepted,2016
2124,Lethbridge_HS,North_America,Canada,,High_school,13,Accepted,2016
2067,Liceo_Eugenio_Hostos,Latin_America,Chile,,High_school,1,Withdrawn,2016
2095,Linkoping_Sweden,Europe,Sweden,Environment(P),Overgrad,16,Accepted,2016
2170,LMU-TUM_Munich,Europe,Germany,,Overgrad,22,Accepted,2016
2112,LN-Shiyan-China,Asia,China,,High_school,17,Accepted,2016
2107,Lubbock_TTU,North_America,United_States,,Overgrad,15,Accepted,2016
1998,Macquarie_Australia,Asia,Australia,,Undergrad,7,Accepted,2016
2092,Manchester,Europe,United_Kingdom,New_Application(P),Overgrad,17,Accepted,2016
1964,Marburg,Europe,Germany,,Overgrad,18,Accepted,2016
2164,McGill-McMaster,North_America,Canada,,Unspecified,1,Withdrawn,2016
1929,McMasterU,North_America,Canada,,Undergrad,23,Accepted,2016
2140,Melbourne,Asia,Australia,,Undergrad,10,Accepted,2016
2052,METU_HS_Ankara,Europe,Turkey,,High_school,24,Accepted,2016
2105,Michigan,North_America,United_States,Diagnostics(P),Undergrad,18,Accepted,2016
2104,Michigan_Software,North_America,United_States,,Overgrad,7,Accepted,2016
1991,Mingdao,Asia,Taiwan,,High_school,33,Accepted,2016
2099,Minnesota,North_America,United_States,,Undergrad,8,Accepted,2016
2034,Missouri_Rolla,North_America,United_States,,Undergrad,11,Accepted,2016
2100,MIT,North_America,United_States,Diagnostics(P),Overgrad,14,Accepted,2016
2125,MSU-Michigan,North_America,United_States,,Undergrad,7,Accepted,2016
1950,Nagahama,Asia,Japan,,Undergrad,14,Accepted,2016
1958,Nanjing-China,Asia,China,,Undergrad,18,Accepted,2016
1894,Nanjing_NFLS,Asia,China,,High_school,20,Accepted,2016
2088,NAU-CHINA,Asia,China,Environment(P),Undergrad,11,Accepted,2016
2142,NAWI-Graz,Europe,Austria,,Overgrad,10,Accepted,2016
1920,NCKU_Tainan,Asia,Taiwan,,Undergrad,26,Accepted,2016
2046,NCL_India,Asia,India,,Unspecified,1,Withdrawn,2016
1974,NCTU_Formosa,Asia,Taiwan,Environment(P),Undergrad,24,Accepted,2016
1947,NEFU_China,Asia,China,,Unspecified,4,Accepted,2016
1982,NEU-China,Asia,China,New_Application(P),Undergrad,7,Accepted,2016
1895,Newcastle,Europe,United_Kingdom,,Undergrad,15,Accepted,2016
1942,NJU-China,Asia,China,,Undergrad,17,Accepted,2016
1981,NKU_China,Asia,China,New_Application(P),Undergrad,26,Accepted,2016
2182,Northeastern,North_America,United_States,,Undergrad,13,Accepted,2016
2108,NorthernBC,North_America,Canada,,Undergrad,9,Accepted,2016
2019,Northwestern,North_America,United_States,,Undergrad,12,Accepted,2016
1957,NRP-UEA-Norwich,Europe,United_Kingdom,Energy(P),Undergrad,12,Accepted,2016
2073,NTHU_Taiwan,Asia,Taiwan,Environment(P),Undergrad,17,Accepted,2016
1970,NTNU_Trondheim,Europe,Norway,,Overgrad,9,Accepted,2016
2130,NTU-Singapore,Asia,Singapore,,Overgrad,12,Accepted,2016
1997,NUDT_CHINA,Asia,China,,Undergrad,9,Accepted,2016
1897,NUS_Singapore,Asia,Singapore,,Undergrad,19,Accepted,2016
2155,NWPU,Asia,China,Environment(P),Undergrad,14,Accepted,2016
2040,NYMU-Taipei,Asia,Taiwan,,Overgrad,28,Accepted,2016
2122,NYU-AD,Asia,United_Arab_Emirates,,Undergrad,14,Accepted,2016
1990,NYU_Shanghai,Asia,China,,Undergrad,12,Accepted,2016
1910,OLS_Canmore,North_America,Canada,,High_school,15,Accepted,2016
2047,OUC-China,Asia,China,,Undergrad,15,Accepted,2016
1980,Oxford,Europe,United_Kingdom,Therapeutics(P),Undergrad,13,Accepted,2016
2043,Paris_Bettencourt,Europe,France,,Overgrad,15,Accepted,2016
2039,Paris_Saclay,Europe,France,,Overgrad,27,Accepted,2016
2053,Pasteur_Paris,Europe,France,,Overgrad,24,Accepted,2016
1989,Peking,Asia,China,,Undergrad,19,Accepted,2016
2056,Peshawar,Asia,Pakistan,,Undergrad,16,Accepted,2016
2084,Pittsburgh,North_America,United_States,,Undergrad,12,Accepted,2016
2037,Pretoria_UP,Africa,South_Africa,,Undergrad,16,Accepted,2016
1986,Pumas_Mexico,Latin_America,Mexico,,Undergrad,30,Accepted,2016
1988,Purdue,North_America,United_States,,Undergrad,20,Accepted,2016
2064,Queens_Canada,North_America,Canada,,Undergrad,13,Accepted,2016
2077,RHIT,North_America,United_States,Manufacturing(P),Undergrad,11,Accepted,2016
1878,Rice,North_America,United_States,,Undergrad,19,Accepted,2016
2031,Richard_Montgomery,North_America,United_States,,Unspecified,1,Withdrawn,2016
2126,Rock_Ridge_Virginia,North_America,United_States,,High_school,1,Withdrawn,2016
2101,Ryerson_Toronto,North_America,Canada,,Undergrad,8,Accepted,2016
2115,Saint_Rose_School_A,Latin_America,Chile,,High_school,6,Accepted,2016
2119,Saint_Rose_School_B,Latin_America,Chile,,High_school,9,Accepted,2016
1959,SCAU-China,Asia,China,,Undergrad,18,Accepted,2016
2143,SCSU-New_Haven,North_America,United_States,,Undergrad,11,Accepted,2016
1919,SCU-China,Asia,China,,Undergrad,9,Accepted,2016
1972,SCUT-China_A,Asia,China,,Undergrad,14,Accepted,2016
2080,SCUT-China_B,Asia,China,,Undergrad,18,Accepted,2016
1979,SDSZ_China,Asia,China,,High_school,12,Accepted,2016
2018,SDU-Denmark,Europe,Denmark,,Overgrad,17,Accepted,2016
2132,ShanghaitechChina,Asia,China,New_Application(P),Undergrad,15,Accepted,2016
2152,ShanghaiTechChina_B,Asia,China,,Undergrad,13,Accepted,2016
2016,Sheffield,Europe,United_Kingdom,,Undergrad,20,Accepted,2016
1928,Shenzhen_SFLS,Asia,China,,High_school,28,Accepted,2016
1969,SJTU-BioX-Shanghai,Asia,China,Diagnostics(P),Undergrad,16,Accepted,2016
2162,SJTU-Software,Asia,China,Software(P),Undergrad,17,Accepted,2016
1965,Slovenia,Europe,Slovenia,,Overgrad,20,Accepted,2016
1892,SMS_Shenzhen,Asia,China,,High_school,21,Accepted,2016
1881,SPS_singapore,Asia,Unspecified,,Unspecified,1,Deleted,2016
1948,SRM_Chennai,Asia,India,,Undergrad,21,Accepted,2016
2027,Stanford-Brown,North_America,United_States,,Undergrad,19,Accepted,2016
2144,Stockholm,Europe,Sweden,Therapeutics(P),Overgrad,16,Accepted,2016
1908,Stony_Brook,North_America,United_States,,Undergrad,32,Accepted,2016
2102,StuyGem,North_America,United_States,,High_school,1,Withdrawn,2016
1943,SUSTech_Shenzhen,Asia,China,,Undergrad,21,Accepted,2016
2113,SVCE_CHENNAI,Asia,India,Food_&_Nutrition(P),Undergrad,21,Accepted,2016
1996,Sydney_Australia,Asia,Australia,,Undergrad,11,Accepted,2016
1926,SYSU-CHINA,Asia,China,Therapeutics(P),Undergrad,14,Accepted,2016
1888,SYSU-MED,Asia,Unspecified,,Unspecified,0,Deleted,2016
1993,SYSU-MEDICINE,Asia,China,Therapeutics(P),Undergrad,17,Accepted,2016
1883,SYSU-Software,Asia,China,,Undergrad,33,Accepted,2016
1884,SZU-China,Asia,China,Energy(P),Undergrad,21,Accepted,2016
1898,TAS_Taipei,Asia,Taiwan,,High_school,27,Accepted,2016
2011,TCU_Taiwan,Asia,Taiwan,,Undergrad,14,Accepted,2016
2069,Tec-Chihuahua,Latin_America,Mexico,Environment(P),Undergrad,21,Accepted,2016
1903,TEC-Costa_Rica,Latin_America,Costa_Rica,Diagnostics(P),Undergrad,18,Accepted,2016
2055,Tec-Monterrey,Latin_America,Mexico,,Undergrad,18,Accepted,2016
1904,TecCEM,Latin_America,Mexico,,Undergrad,20,Accepted,2016
1905,TecCEM_HS,Latin_America,Mexico,,High_school,21,Accepted,2016
1992,Technion_Israel,Asia,Israel,Foundational_Advance(P),Overgrad,19,Accepted,2016
2081,TEC_GenetiX_CCM,Latin_America,Mexico,,High_school,14,Accepted,2016
2061,Tel-Hai,Asia,Israel,,Overgrad,13,Accepted,2016
2110,Tianjin,Asia,China,Environment(P),Undergrad,25,Accepted,2016
1921,TJUSLS_China,Asia,China,Environment(P),Undergrad,23,Accepted,2016
1887,TMMU_China,Asia,China,,Undergrad,11,Accepted,2016
1949,Tokyo_Tech,Asia,Japan,,Undergrad,26,Accepted,2016
1924,Tonbridge,Europe,United_Kingdom,,High_school,1,Withdrawn,2016
1922,Tongji_Shanghai,Asia,China,Therapeutics(P),Undergrad,18,Accepted,2016
2048,Toronto,North_America,Canada,,Undergrad,11,Accepted,2016
1937,Toulouse_France,Europe,France,,Overgrad,15,Accepted,2016
2090,TP_CC_SanDiego,North_America,United_States,,High_school,24,Accepted,2016
1984,TrinityCollegeDublin,Europe,Ireland,,Undergrad,14,Accepted,2016
1923,Tsinghua,Asia,China,New_Application(P),Undergrad,17,Accepted,2016
1918,Tsinghua-A,Asia,China,,Undergrad,17,Accepted,2016
2065,TU-Eindhoven,Europe,Netherlands,,Undergrad,12,Accepted,2016
1882,Tuebingen,Europe,Germany,Therapeutics(P),Overgrad,22,Accepted,2016
2087,Tufts,North_America,United_States,Therapeutics(P),Undergrad,7,Accepted,2016
1976,TU_Darmstadt,Europe,Germany,,Overgrad,35,Accepted,2016
1890,TU_Delft,Europe,Netherlands,,Undergrad,16,Accepted,2016
2014,UAM_Poznan,Europe,Poland,,Overgrad,10,Accepted,2016
2029,UBonn_HBRS,Europe,Germany,Manufacturing(P),Undergrad,20,Accepted,2016
2150,UCAS,Asia,China,Environment(P),Undergrad,17,Accepted,2016
2002,UCC_Ireland,Europe,Ireland,,Undergrad,14,Accepted,2016
2176,UChicago,North_America,United_States,,Undergrad,12,Accepted,2016
1954,UCL,Europe,United_Kingdom,,Undergrad,19,Accepted,2016
2068,UCLA,North_America,United_States,,Undergrad,14,Accepted,2016
2093,UCLouvain,Europe,Belgium,Manufacturing(P),Overgrad,15,Accepted,2016
1953,UConn,North_America,United_States,,Undergrad,12,Accepted,2016
2071,UCSC,North_America,United_States,Food_&_Nutrition(P),Undergrad,22,Accepted,2016
2159,UCSD_Auditory,North_America,United_States,,Unspecified,1,Withdrawn,2016
1916,UC_Davis,North_America,United_States,,Undergrad,10,Accepted,2016
2085,UC_San_Diego,North_America,United_States,,Unspecified,4,Accepted,2016
2013,UESTC-China,Asia,China,,Undergrad,24,Accepted,2016
2025,UESTC-software,Asia,China,,Undergrad,17,Accepted,2016
2123,UFAM-UEA_Brazil,Latin_America,Brazil,,Overgrad,12,Accepted,2016
1939,UGA-Georgia,North_America,United_States,,Overgrad,15,Accepted,2016
1896,UGent_Belgium,Europe,Belgium,Environment(P),Overgrad,13,Accepted,2016
2050,UI-Indonesia,Asia,Indonesia,,Undergrad,25,Accepted,2016
1927,UiOslo_Norway,Europe,Norway,,Overgrad,11,Accepted,2016
1987,UIUC_Illinois,North_America,United_States,,Undergrad,15,Accepted,2016
2007,ULV-LC-CV,North_America,United_States,Energy(P),Undergrad,24,Accepted,2016
2032,UMaryland,North_America,United_States,,Undergrad,12,Accepted,2016
2138,UMass-Dartmouth,North_America,United_States,,Undergrad,8,Accepted,2016
2063,UNC-Chapel_Hill,North_America,United_States,,Undergrad,9,Accepted,2016
2086,UNebraska-Lincoln,North_America,United_States,Environment(P),Undergrad,12,Accepted,2016
2076,UNH_Durham,North_America,United_States,,Undergrad,9,Accepted,2016
1975,UNIK_Copenhagen,Europe,Denmark,,Overgrad,16,Accepted,2016
2022,UNSW_Australia,Asia,Australia,Foundational_Advance(P),Undergrad,9,Accepted,2016
2024,UoA_NewZealand,Asia,New_Zealand,,Undergrad,19,Accepted,2016
2008,UofC_Calgary,North_America,Canada,,Undergrad,26,Accepted,2016
2118,UPF-CRG_Barcelona,Europe,Spain,,Undergrad,16,Accepted,2016
2106,UPIBI-IPN,Latin_America,Mexico,,Unspecified,1,Withdrawn,2016
2180,UPMC-Paris,Europe,France,,Overgrad,14,Accepted,2016
1973,UPO-Sevilla,Europe,Spain,,Overgrad,11,Accepted,2016
2003,Uppsala,Europe,Sweden,,Overgrad,12,Accepted,2016
2179,UrbanTundra_Edmonton,North_America,Canada,,High_school,14,Accepted,2016
2147,USNA-Annapolis,North_America,United_States,,Undergrad,18,Accepted,2016
2149,USP-EEL-Brazil,Latin_America,Brazil,,Undergrad,13,Accepted,2016
2136,USP_UNIFESP-Brazil,Latin_America,Brazil,,Overgrad,32,Accepted,2016
2009,USTC,Asia,China,New_Application(P),Undergrad,29,Accepted,2016
2001,USTC-Software,Asia,China,,Undergrad,11,Accepted,2016
2072,UST_Beijing,Asia,China,,Undergrad,31,Accepted,2016
1966,UT-Knoxville,North_America,United_States,,Overgrad,14,Accepted,2016
2070,UT-Tokyo,Asia,Japan,,Undergrad,11,Accepted,2016
2017,Valencia_UPV,Europe,Spain,Food_&_Nutrition(P),Undergrad,13,Accepted,2016
2005,Vanderbilt,North_America,United_States,Foundational_Advance(P),Undergrad,10,Accepted,2016
2006,Vanderbilt_Software,North_America,United_States,,Undergrad,4,Accepted,2016
1983,Vilnius-Lithuania,Europe,Lithuania,,Undergrad,20,Accepted,2016
1879,Virginia,North_America,United_States,,Undergrad,14,Accepted,2016
1913,Wageningen_UR,Europe,Netherlands,,Overgrad,24,Accepted,2016
1994,Warwick,Europe,United_Kingdom,Diagnostics(P),Undergrad,11,Accepted,2016
2165,Washington,North_America,United_States,,Undergrad,18,Accepted,2016
2135,WashU_StLouis,North_America,United_States,,Undergrad,11,Accepted,2016
2137,Waterloo,North_America,Canada,,Overgrad,38,Accepted,2016
2177,Westlake,North_America,United_States,,High_school,1,Withdrawn,2016
1977,Westminster_UoW,Europe,United_Kingdom,Manufacturing(P),Undergrad,16,Accepted,2016
2066,William_and_Mary,North_America,United_States,,Undergrad,12,Accepted,2016
1900,WLC-Milwaukee,North_America,United_States,,Undergrad,8,Accepted,2016
2167,Wound-Aid-West-Point,North_America,United_States,,Team_not_yet_accepted,1,Pending,2016
2083,WPI_Worcester,North_America,United_States,,Undergrad,8,Accepted,2016
1906,XJTLU-CHINA,Asia,China,,Undergrad,21,Accepted,2016
1960,XMU-China,Asia,China,Diagnostics(P),Undergrad,24,Accepted,2016
2121,Yale,North_America,United_States,,Undergrad,11,Accepted,2016
1886,ZJU-China,Asia,China,Information_Processing(P),Undergrad,15,Accepted,2016
